whole_congruent,whole_incongruent,control_congruent,control_incongruent
1.0578954,0.790186,0.5612094,1.178166
1.2642272,0.7543847,0.76615,1.8879685
1.3486109,0.7950582,0.7197933,0.8988515
0.5475122,0.6664657,0.7763968,0.5743851
0.5409336,0.7328298,0.5394845,0.8281483
0.5088927,1.0410843,0.4153644,0.4470509
0.6489491,0.9295067,0.6619631,0.9517838
0.642135,0.6373787,1.142773,0.558177
0.5179327,1.4814956,0.4842012,0.6117977
0.4353557,0.739635,0.5213829,0.6957383
0.5509629,0.5205863,0.5292821,0.5049628
0.3381085,0.3767421,0.5012659,1.7155755
1.9406725,0.7238771,0.427392,0.9244514
0.5734732,0.7603187,0.505688,0.7275974
1.022867,1.5189832,0.5094576,1.3919051
0.5083053,0.6026014,0.4501856,0.5663447
0.5221534,0.6276439,1.0607624,0.6030876
0.4937121,0.4434922,0.5826378,0.48777
0.5097598,0.4763098,0.3976322,1.3719247
0.8016346,0.7352212,0.5257253,0.4272603
0.5935185,0.4155274,0.5180102,0.5191826
1.0056693,0.6350702,0.5548663,0.5115834
0.444594,0.5046416,0.5577092,1.32699
0.4895498,1.8733681,0.5869713,0.5946809
0.5622537,0.620645,0.4743537,0.7410215
0.5475735,0.5296535,0.5293962,0.5758962
0.455829,1.0262282,0.4031186,0.4416234
0.4725408,0.5268791,0.5794133,0.5795796
0.4752641,0.4631826,0.4207576,0.520502
0.4528751,0.5273482,0.5357995,0.8752187
2.688442,0.5115636,0.7294347,0.6249
1.4797487,0.5653662,0.553959,0.4395769
1.2856134,0.3371766,1.4498643,0.5130963
0.5071824,0.4673732,0.5787201,0.5665779
0.5074759,0.4335215,0.4904331,0.5771598
0.8681313,0.3714041,0.6402892,0.5249153
0.5000794,0.5275905,0.425256,0.5298264
0.7009843,0.516813,2.2102555,0.6103513
0.4593783,0.4857003,0.5159451,0.9561158
0.5257761,1.2233068,0.5531756,0.5154992
0.6710986,0.4988959,0.5864836,0.5516337
0.5198962,0.5597195,0.4690533,1.1458781
0.6027316,1.0402588,0.5974878,0.4954318
0.5047086,0.7611372,0.5273871,0.5170996
0.509298,0.5541707,0.5798974,0.5010739
0.4636064,0.7283001,0.6584325,0.8067228
0.6151232,0.5433267,1.7025604,0.5076543
0.5832553,0.757705,0.8593762,0.4917181
0.7103261,0.4799118,0.618088,0.5754132
0.5911383,0.529545,0.7452753,0.7464697
1.006624,1.4423561,0.702242,0.6619169
1.3764382,1.0340774,1.0682938,0.6183324
0.6428447,0.558082,0.9254199,0.7896248
1.0166761,0.4311133,0.5770119,0.5677468
0.9062238,0.5629694,0.8750726,0.4604825
0.6975483,0.6887495,0.435918,0.9719228
0.9336099,0.6990316,0.4925574,0.9805396
0.647662,0.9661984,0.3937207,1.4768959
0.7921597,0.4328718,0.6118104,0.8379854
0.8775758,0.4855909,0.7087952,0.769658
0.6947514,0.5107244,0.5862357,0.5405894
0.6696431,1.1929665,0.3689854,0.9421705
1.487136,0.8934596,0.5510537,1.9816173
0.6327366,0.4520059,0.4823608,0.7782272
0.9958724,0.4462994,0.6402067,0.831929
0.5772814,0.5225551,0.6544653,0.9226097
1.2239132,0.5884573,0.3831064,0.9204199
0.6027374,0.4031116,0.6116727,0.8148256
0.45209,0.4617587,0.5417798,1.0018709
0.7731803,0.6336439,0.5454448,0.79855
0.9810088,0.5125422,0.3742728,0.7177305
0.526253,0.4011882,0.4564097,2.4946776
0.5041316,0.6457337,0.7379905,0.8912934
0.3798193,0.5441819,0.5574792,0.7418152
0.6827501,1.0845402,0.4600517,0.5213321
0.9464874,1.0553583,0.5793002,0.5756413
0.8465646,0.5510516,0.5068667,0.4119227
1.9184478,0.5833099,0.5027661,0.7306594
0.5640264,4.4254004,0.686643,0.6263649
0.505591,0.5316795,0.4603376,0.5275811
0.5536169,1.5390924,,0.4874167
0.4983261,2.6075243,,0.6352721
0.4948769,1.4115354,,0.5283969
0.5312662,1.4382932,,0.4322801
1.3661421,1.3338185,,0.5451806
0.9347784,0.8079899,,0.5534974
0.4241904,0.821555,,0.6123233
,0.7844518,,0.4809322
,0.6061458,,0.5566833
,0.457623,,0.4940512
,0.8009875,,0.4729531
,0.7686605,,0.5605789
,0.9153937,,0.5710583
,0.6171842,,
,0.7607634,,
,0.9157375,,
,0.6470476,,
,0.7934403,,
,0.587403,,
,1.0702479,,
,3.1363332,,
,0.9712166,,
,1.1141986,,
,0.6488346,,
,0.5682004,,
,2.0253246,,
,0.6705759,,
,1.7771868,,
,1.1422702,,
,0.7658792,,
,3.7532189,,
,0.5141762,,
,0.5587677,,
,0.4763684,,
,0.4702777,,
,0.5553656,,
,0.5874339,,
,1.7499407,,
,0.5779643,,
,0.4415904,,
,0.6345383,,
,0.4798312,,
,0.4851783,,
,1.4043233,,
,0.5737694,,
,0.7705721,,
,0.4050047,,
,0.4826688,,
,0.4303242,,
,0.8413667,,
,0.5980816,,
,0.523689,,
,0.5582288,,
,0.7830126,,
,0.5605431,,
,0.5234564,,
,0.7406973,,
,0.5161869,,
,0.6703802,,
